"用户ID","特征","清洁效率","耗材","对比","时间"
"1001","标准模式，89平方米住宅，激光导航，日常全屋清扫","92%","滤网状态良好，主刷正常，边刷轻微磨损","相比上月清洁效率提升，清扫覆盖较稳定","2025-01"
"1001","强力模式，地毯区域较多，宠物毛发明显","95%","主刷有少量毛发缠绕，滤网轻度积尘","地毯区域清洁效果提升，但耗材压力增加","2025-03"
"1001","拖地模式，木地板环境，低水量设置","90%","拖布轻微变脏，水箱状态正常","地板清洁效果较好，建议保持低水量拖地","2025-06"
"1001","标准模式，玄关和餐桌区域重点清扫","93%","边刷轻微变形，滤网状态正常","重点区域清洁改善，建议检查边刷","2025-09"
"1002","标准模式，大户型家庭，多房间清扫","88%","滤网轻度堵塞，尘盒接近满载","边角遗漏减少，但吸力略有下降","2025-02"
"1002","拖地模式，厨房区域频繁使用","90%","拖布损耗增加，水箱出水正常","拖地效果较上次更稳定，建议清洗拖布","2025-05"
"1002","静音模式，夜间清洁，低噪音优先","83%","主刷轻微缠绕，滤网状态一般","噪音明显降低，但清洁效率略低","2025-09"
"1002","强力模式，灰尘较多，客厅重点清扫","91%","滤网积尘明显，边刷正常","清洁效率提升，建议更换或清理滤网","2025-12"
"1003","静音模式，小户型住宅，夜间定时清扫","84%","主刷轻微缠绕，尘盒容量充足","噪音降低但效率略低，适合日常维护清扫","2025-01"
"1003","标准模式，小户型住宅，全屋清扫","89%","耗材状态良好，传感器清洁","相比静音模式效率提升，路线更稳定","2025-04"
"1003","拖地模式，瓷砖地面，标准水量","91%","拖布轻度变脏，水箱正常","拖地覆盖较好，建议每次拖地后清洗拖布","2025-08"
"1003","定点清扫，玄关区域泥沙较多","87%","边刷磨损轻微，尘盒颗粒物较多","局部清扫有效，但建议增加玄关清扫频率","2025-11"
"1004","标准模式，企业宿舍场景，房间数量较多","86%","滤网轻度堵塞，主刷正常","覆盖率稳定，但耗时较长","2025-02"
"1004","强力模式，大面积瓷砖地面","93%","尘盒接近满载，边刷状态正常","清洁效率明显提升，建议清扫后及时清空尘盒","2025-07"
"1004","拖地模式，公共区域高频使用","88%","拖布损耗较明显，水箱正常","拖地效果稳定，但拖布建议提前更换","2025-10"
"1004","标准模式，多房间地图，断点续扫","90%","电池表现正常，滤网轻度积尘","断点续扫完成度较好，适合大面积场景","2025-12"
"1005","标准模式，宠物家庭，毛发较多","89%","主刷毛发缠绕明显，滤网积尘","清洁覆盖稳定，但主刷维护压力较高","2025-03"
"1005","强力模式，宠物毛发重点清理","94%","主刷缠绕增加，边刷正常","毛发清理效果提升，建议每周清理主刷","2025-06"
"1005","拖地模式，客厅和卧室木地板","88%","拖布状态一般，水箱低水量","地面清洁较温和，适合木地板环境","2025-09"
"1005","标准模式，宠物活动区重点清扫","92%","滤网轻度堵塞，主刷有毛发","重点区域清扫改善，建议检查滤网和主刷","2025-12"
"1006","标准模式，地毯和硬地混合环境","87%","边刷轻微磨损，主刷正常","普通模式下地毯区域清洁一般","2025-01"
"1006","强力模式，地毯自动增压","96%","主刷轻微缠绕，滤网状态正常","地毯清洁效率明显提升","2025-04"
"1006","拖地模式，避开地毯区域","89%","拖布状态良好，水箱正常","地毯避让有效，拖地覆盖稳定","2025-07"
"1006","标准模式，地毯边缘频繁卡顿","82%","边刷变形，轮组疑似有异物","清扫效率下降，建议清理轮组并固定地毯边缘","2025-10"
"1007","标准模式，老人家庭，低噪音需求","85%","耗材状态良好，尘盒少量灰尘","清扫稳定，噪音可接受","2025-02"
"1007","静音模式，午休时段清扫","81%","滤网正常，主刷正常","噪音降低明显，但清洁效率下降","2025-05"
"1007","标准模式，卧室和客厅分区清扫","88%","边刷轻微磨损，传感器需擦拭","分区清扫效果较好，建议清洁传感器","2025-08"
"1007","定点清扫，餐桌下方碎屑较多","90%","尘盒颗粒物较多，主刷正常","局部清扫效果较好，建议保持定点清扫习惯","2025-11"
"1008","标准模式，大户型住宅，多楼层地图","87%","滤网轻度积尘，电池表现正常","多地图使用稳定，但清扫耗时较长","2025-03"
"1008","强力模式，阳台和玄关灰尘较多","93%","尘盒接近满载，边刷正常","灰尘清理效果提升，建议清扫后及时清空尘盒","2025-06"
"1008","拖地模式，梅雨季湿度较高","84%","拖布干燥较慢，水箱正常","拖地后地面干燥较慢，建议降低出水量并通风","2025-09"
"1008","标准模式，节假日前全屋深度清扫","91%","滤网轻度堵塞，主刷正常","全屋覆盖较好，建议节后清理滤网","2025-12"
